A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
13946;53;5304;7;13946-1;1;54;99999;99999;54;2;2;99999;5;99999;1;1;13946-2;4;2;99999;2;1;13946-2;2;4;4;2;4;4;76;29;88888;99999;99999;30;30;99999;99999;7653;5304;2;2;99999;1;0;88888;88888;1;2;1;2;2;1;1;1;0;1;1;3;22;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;1;9;0;44;1;0;2;2;2;2;2;2;1;99999;7;1;7;99999;2;1;99999;1;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,989671705;1;2;2;5;30,52601586
13946;53;5304;7;13946-2;2;56;99999;99999;56;1;1;99999;5;99999;2;99999;99999;1;2;99999;2;1;13946-1;2;4;4;4;4;4;76;25;88888;99999;99999;30;30;99999;99999;7653;5304;1;2;99999;1;0;1;0;2;99999;99999;99999;99999;1;1;4;0;2;99999;99999;99999;2;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;2;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;30;0;44;1;0;2;2;2;2;2;1;2;99999;6;2;7;99999;2;2;99999;2;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,989671705;1;2;2;1;40,54275216
13946;53;5304;7;13946-3;3;20;2003-08-14;99999;99999;2;2;99999;5;99999;4;99999;99999;1;12;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5304;99999;2;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;2;99999;99999;1;1;99999;1;1;3;0;2;2;2;2;1;2;2;2;2;99999;5;1;6;1;99999;99999;99999;99999;99999;1;1;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;14;0;0,0;0,989671705;1;2;2;4;45,07769475
13955;52;5250;47;13955-1;1;47;1976-11-07;99999;99999;1;1;99999;5;99999;1;99999;99999;4;12;99999;1;2;99999;2;3;4;4;4;4;76;53;7653;99999;99999;20;20;99999;99999;7652;5250;7;99999;99999;1;0;1;0;1;2;1;2;2;1;1;4;50;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;1;5;0;35;1;46;2;2;1;2;2;2;2;99999;3;8;7;99999;2;2;99999;2;3000;3047,98044;0;0,0;99999;99999,0;88888;99999,0;4;99999;99999,0;0,984258285;1;2;2;5;91,41708574
14023;53;5323;27;14023-1;1;45;1978-07-26;99999;99999;2;2;99999;5;99999;1;2;99999;1;12;99999;2;2;99999;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5323;99999;2;99999;1;0;88888;88888;1;2;1;2;2;2;99999;99999;99999;2;1;4;18;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;88888;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;10;0;88888;1;1;2;1;2;2;2;2;2;99999;2;2;3;99999;99999;99999;88888;88888;88888;99999,0;88888;99999,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,974884044;1;2;2;8;7,573184526
14023;53;5323;27;14023-2;2;19;2004-08-22;99999;99999;1;1;99999;5;99999;5;99999;99999;4;13;Cristã;1;3;99999;88888;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5323;99999;2;99999;1;0;88888;88888;1;2;1;2;2;1;1;4;23;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;2;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;0;0,0;0,974884044;1;2;2;4;10,43066305
14023;53;5323;27;14023-3;3;16;2007-07-26;99999;99999;1;99999;99999;99999;99999;5;99999;99999;1;12;99999;1;3;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5323;99999;2;99999;1;0;0;0;1;1;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;1;99999;1;1;4;1;2;2;2;2;2;2;2;2;1;99999;9;2;5;2;99999;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;0;0,0;0,974884044;99999;99999;99999;4;10,43066305
14079;53;5331;37;14079-1;1;56;1967-07-02;99999;99999;1;1;99999;10;99999;1;1;14079-2;4;2;99999;2;1;14079-2;1;4;4;4;4;4;76;29;76290320;99999;99999;50;49;7653;99999;7653;5331;1;2;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;7;1;1;2;99999;99999,0;2;99999;99999,0;1;0;0;24;1;0;2;2;2;2;2;2;1;99999;7;1;7;99999;2;2;99999;2;77777;99999,0;77777;99999,0;0;0,0;88888;99999,0;88888;99999;99999,0;0,982195674;1;2;2;2;7,711939739
14079;53;5331;37;14079-2;2;52;1971-10-26;99999;99999;2;2;99999;5;99999;2;99999;99999;4;2;99999;2;1;14079-1;2;4;4;4;4;4;76;52;76521010;99999;99999;88888;88888;99999;99999;7653;5331;1;2;99999;1;0;0;1;1;2;1;2;2;1;1;1;0;2;1;5;17;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;4;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;88888;0;0,0;0,982195674;1;2;2;2;10,28419788
14079;53;5331;37;14079-3;3;17;99999;99999;17;2;99999;99999;99999;99999;4;99999;99999;4;2;99999;1;3;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5331;99999;2;99999;1;0;1;0;1;1;1;2;2;1;1;1;0;2;2;99999;99999;1;1;99999;1;1;1;5;2;2;1;2;2;2;2;2;2;99999;3;4;5;2;99999;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;0;1;88888;1;1;1;2;2;2;2;2;2;99999;1;4;6;99999;99999;99999;1;1;409;416,4139701;0;0,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,982195674;99999;99999;99999;4;7,914886823
14079;53;5331;37;14079-4;4;31;1992-03-25;99999;99999;2;2;99999;5;99999;4;99999;99999;4;2;99999;1;2;99999;2;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5331;99999;2;99999;1;0;88888;88888;1;2;1;2;2;88888;99999;99999;99999;2;1;1;28;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;1;88888;88888;88888;1;5;1;2;2;2;2;2;2;99999;1;3;88888;99999;99999;99999;1;1;88888;99999,0;88888;99999,0;99999;99999,0;0;0,0;88888;99999;99999,0;0,982195674;1;2;2;5;8,533872057
14079;53;5331;37;14079-5;5;4;2020-01-15;99999;99999;2;99999;99999;99999;99999;10;99999;99999;4;12;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5331;99999;99999;99999;1;0;0;0;1;2;1;2;2;1;1;1;0;2;99999;99999;99999;99999;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999,0;99999;99999;99999,0;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999,0;99999;99999,0;99999;99999,0;99999;99999,0;99999;0;0,0;0,982195674;99999;99999;99999;8;6,170122192
14082;53;5323;27;14082-1;1;33;99999;99999;33;1;1;99999;5;99999;1;1;14082-2;4;2;99999;1;2;99999;1;4;4;4;4;4;76;53;7653;2;1;99999;15;99999;99999;99999;5323;2;1;7652;1;0;0;1;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;1;2;99999;99999,0;2;99999;99999,0;1;4;0;30;1;1;1;2;2;2;2;2;2;99999;1;2;3;99999;99999;99999;1;1;77777;99999,0;77777;99999,0;99999;99999,0;0;0,0;15;99999;99999,0;0,974884044;1;2;2;5;6,412779559
14082;53;5323;27;14082-2;2;32;99999;99999;32;1;1;99999;5;99999;12;99999;99999;4;2;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5323;99999;2;99999;1;0;0;1;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;8;1;1;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;15;0;0,0;0,974884044;1;2;2;7;6,412779559
