A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
229;53;5305;8;00229-1;1;36;99999;99999;36;1;1;99999;6;99999;1;1;00229-2;2;1;99999;2;1;00229-2;1;4;4;4;4;4;76;53;7653;2;1;99999;8;99999;765306;99999;5305;3;2;99999;1;0;0;1;1;1;1;2;2;1;4;2;11;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;8;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;40;1;1;1;2;2;2;2;2;2;99999;1;5;1;1;99999;99999;99999;1;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;14;99999;99999,0;0,989671705;1;1;1;7;51,53668591
229;53;5305;8;00229-2;2;27;99999;99999;27;1;1;99999;6;99999;3;99999;99999;1;1;99999;2;1;00229-1;1;4;4;4;4;4;76;53;7653;2;1;99999;7;99999;765314;99999;5305;2;2;99999;1;0;0;1;1;1;1;2;2;1;4;2;11;1;99999;99999;99999;1;1;99999;2;2;99999;56;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;7;2;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;88888;2;56;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;99999;1;1;99999;1;6000;6062,61649;0;0,0;99999;99999,0;88888;99999,0;42;99999;99999,0;0,989671705;1;1;1;6;38,82589842
315;53;5311;14;00315-1;1;67;1956-08-19;99999;99999;2;2;99999;8;99999;1;2;99999;4;1;99999;5;2;99999;1;4;4;4;4;4;76;52;76522140;99999;99999;30;30;99999;99999;7653;5311;1;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;1;1;4;19;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;2;99999;99999,0;1;1412;101042,5977;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;40;1412;1426,735747;0,989671705;1;2;2;7;29,9176778
315;53;5311;14;00315-2;2;30;1994-02-27;99999;99999;2;2;99999;8;99999;5;99999;99999;4;1;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5311;99999;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;1;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;0;6;40;1;0;2;1;2;2;2;2;1;99999;7;2;3;99999;99999;99999;1;1;1412;1426,735747;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,989671705;1;2;2;7;25,46550945
315;53;5311;14;00315-3;3;37;1986-09-26;99999;99999;1;1;99999;10;99999;5;99999;99999;4;1;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5311;99999;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;40;1;1;1;2;2;2;2;2;2;99999;1;2;3;99999;99999;99999;1;1;2500;2526,090204;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,989671705;1;2;2;7;33,45381101
339;53;5331;37;00339-1;1;62;1961-06-29;99999;99999;2;2;99999;5;99999;1;99999;99999;4;2;99999;1;2;99999;2;3;4;2;3;4;76;22;76220455;99999;99999;24;24;99999;99999;7653;5331;2;99999;99999;1;0;0;1;1;2;1;2;2;1;1;4;5;2;1;4;20;2;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;3;1;1;1;1420;1442,710742;2;99999;99999,0;1;0;0;24;1;26;1;2;2;2;2;2;2;99999;1;2;7;99999;2;2;99999;1;390;396,2374572;0;0,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,984258285;1;2;2;2;5,206399535
348;53;5305;8;00348-1;1;41;99999;99999;41;2;2;99999;5;99999;1;2;99999;2;1;99999;2;1;00348-2;2;4;4;4;4;4;76;53;7653;1;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;0;0;1;1;2;1;2;2;1;88888;88888;1;1;1;2;19;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;1;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,984258285;1;2;2;4;43,32482054
348;53;5305;8;00348-2;2;45;99999;99999;45;1;1;99999;5;99999;2;99999;99999;2;88888;99999;2;1;00348-1;2;4;4;4;4;4;76;31;76313670;99999;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;88888;88888;50;1;0;2;1;2;2;2;2;2;99999;2;1;8;99999;2;1;99999;1;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,984258285;1;2;2;2;48,25002465
348;53;5305;8;00348-3;3;16;99999;99999;16;1;99999;99999;99999;99999;5;99999;99999;2;1;99999;1;3;99999;99999;4;4;4;4;4;76;31;76313670;99999;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;1;0;1;1;2;1;2;2;1;4;1;1;1;99999;99999;99999;1;1;99999;2;1;1;0;2;2;2;2;1;2;2;2;2;99999;5;1;5;2;99999;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;0;0,0;0,984258285;99999;99999;99999;4;55,27255976
348;53;5305;8;00348-4;4;24;99999;99999;24;2;2;99999;5;99999;5;99999;99999;2;1;99999;1;3;99999;2;4;4;4;4;4;76;29;76292530;99999;99999;5;5;7629;76292530;7653;5305;1;2;99999;1;1;0;1;1;2;1;2;2;1;4;2;1;1;1;1;23;1;1;99999;2;1;3;1;1;2;2;2;2;2;2;2;2;99999;1;3;9;1;2;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;88888;0;0,0;0,984258285;1;2;2;6;48,85438092
348;53;5305;8;00348-5;5;0;2023-11-01;99999;99999;2;99999;99999;99999;99999;10;99999;99999;2;88888;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;76;53;7653;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0;0;2;99999;99999;99999;99999;1;2;4;0;1;99999;99999;99999;99999;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999,0;99999;99999;99999,0;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999,0;99999;99999,0;99999;99999,0;99999;99999,0;99999;0;0,0;0,984258285;99999;99999;99999;8;53,65273865
381;53;5316;20;00381-1;1;84;1940-04-28;99999;99999;1;1;99999;5;99999;1;1;00381-2;1;1;99999;5;2;99999;1;4;3;2;4;4;76;31;76313820;99999;99999;49;30;7653;99999;7653;5316;2;2;99999;1;0;0;1;1;1;2;2;2;1;2;2;0;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;17;1;88888;2;2;1;30000;30108,0;1;1412;89207,9968;1;14;0;20;1;0;2;1;2;2;2;2;2;99999;2;1;7;99999;2;2;99999;2;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,996412914;1;2;2;7;10,86598225
381;53;5316;20;00381-2;2;49;1974-11-22;99999;99999;1;1;99999;5;99999;5;99999;99999;1;1;99999;4;2;99999;1;4;4;4;4;4;76;31;76310620;99999;99999;48;30;7653;99999;7653;5316;1;2;99999;1;1;0;3;1;1;1;1;1;1;2;4;1;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;4;2;2;2;99999;99999,0;2;99999;99999,0;1;24;0;60;1;0;2;1;2;2;2;2;2;99999;2;2;7;99999;1;1;99999;1;40000;40144,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,996412914;1;2;2;7;29,4772276
394;53;5327;32;00394-1;1;44;1979-02-15;99999;99999;1;1;99999;5;99999;1;1;00394-2;1;1;99999;2;1;00394-2;1;4;4;4;4;4;76;53;7653;1;99999;36;3;7653;765314;7653;765327;99999;2;99999;2;1;1;1;1;1;1;2;2;1;2;2;1;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;8;2;2;2;99999;99999,0;2;99999;99999,0;1;1;88888;88888;2;27;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;99999;2;2;99999;1;77777;99999,0;77777;99999,0;99999;99999,0;77777;99999,0;8;99999;99999,0;0,974884044;1;2;2;7;59,38810922
394;53;5327;32;00394-2;2;40;1983-10-02;99999;99999;2;2;99999;5;99999;2;99999;99999;1;1;99999;2;1;00394-1;1;4;4;4;4;4;76;53;7653;2;1;99999;3;99999;99999;99999;765327;99999;2;99999;2;0;0;1;1;1;1;2;2;1;2;2;1;1;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;6;88888;8;1;22;2;1;2;2;2;2;2;99999;2;4;3;99999;99999;99999;2;1;77777;99999,0;77777;99999,0;99999;99999,0;77777;99999,0;8;99999;99999,0;0,974884044;1;2;2;7;77,08297838
413;52;5246;52;00413-1;1;63;99999;99999;63;1;1;99999;5;99999;1;2;99999;1;12;99999;1;1;00413-2;1;4;4;4;4;4;76;43;76431720;99999;99999;20;20;99999;99999;7652;5246;2;2;99999;1;0;0;1;1;1;1;2;2;1;2;2;1;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;1;50;0;50;1;57;2;1;2;2;2;2;2;99999;2;9;7;99999;2;2;99999;2;77777;99999,0;77777;99999,0;99999;99999,0;77777;99999,0;88888;99999;99999,0;0,989671705;1;2;2;5;92,97767035
413;52;5246;52;00413-2;2;44;99999;99999;44;2;2;99999;5;99999;2;99999;99999;2;1;99999;1;1;00413-1;1;4;4;4;4;4;76;17;76170950;99999;99999;20;20;99999;99999;7652;5246;1;2;99999;1;0;0;1;1;1;1;2;2;88888;99999;99999;99999;1;1;2;20;1;1;99999;2;1;3;40;2;2;2;2;1;2;2;2;2;99999;5;1;9;88888;2;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;5;0;88888;1;40;2;2;2;2;1;2;2;99999;5;1;1;2;99999;99999;99999;1;77777;99999,0;77777;99999,0;99999;99999,0;77777;99999,0;12;99999;99999,0;0,989671705;1;2;2;6;125,2430853
413;52;5246;52;00413-3;3;24;99999;99999;24;1;1;99999;5;99999;4;99999;99999;1;1;99999;1;3;99999;1;4;4;4;4;4;76;52;76520800;1;99999;20;20;99999;99999;7652;5246;1;2;99999;1;0;0;1;1;1;1;1;1;2;99999;99999;99999;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;88888;2;2;2;99999;99999,0;2;99999;99999,0;1;3;0;44;1;40;2;1;2;2;2;2;2;99999;2;1;3;99999;99999;99999;1;1;77777;99999,0;77777;99999,0;99999;99999,0;77777;99999,0;0;99999;99999,0;0,989671705;1;2;2;7;100,433899
413;52;5246;52;00413-4;4;21;99999;99999;21;2;2;99999;5;99999;4;99999;99999;1;1;99999;1;3;99999;1;4;4;4;4;4;76;52;76520800;2;2;99999;99999;99999;99999;99999;5246;99999;2;99999;1;0;0;1;1;1;1;1;1;2;99999;99999;99999;1;2;99999;99999;1;1;99999;2;1;3;40;2;2;2;2;1;2;2;2;2;99999;5;1;9;88888;2;99999;99999;99999;99999;2;2;2;99999;99999,0;2;99999;99999,0;1;0;11;44;1;7;2;1;2;2;2;2;2;99999;2;3;3;99999;99999;99999;1;1;77777;99999,0;77777;99999,0;99999;99999,0;77777;99999,0;0;99999;99999,0;0,989671705;1;2;2;6;114,6858046
417;53;5301;2;00417-1;1;86;1937-04-22;99999;99999;2;2;99999;5;99999;1;1;00417-2;1;1;99999;2;1;00417-2;2;3;3;4;4;4;76;43;76431690;99999;99999;25;20;7653;99999;7653;5301;1;2;99999;0;0;0;0;2;99999;99999;99999;99999;1;2;4;1;1;1;4;22;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;13;1;99999;2;2;1;88888;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999,0;99999;99999,0;99999;99999,0;88888;99999,0;5;99999;99999,0;0,974884044;1;2;2;5;22,9851896
417;53;5301;2;00417-2;2;91;1932-08-23;99999;99999;1;1;99999;5;99999;2;99999;99999;1;1;99999;2;1;00417-1;2;4;3;2;4;4;76;43;76431710;99999;99999;20;20;99999;99999;7653;5301;1;2;99999;0;0;0;0;2;99999;99999;99999;99999;1;2;4;1;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;12;2;2;1;88888;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;99999;99999,0;0,974884044;1;2;2;7;19,71217303
518;52;5245;44;00518-1;1;61;1963-02-28;99999;99999;1;1;99999;10;99999;1;1;00518-2;2;3;99999;2;1;00518-2;1;4;4;4;4;4;76;35;76355170;99999;99999;1;1;7635;76355170;7635;76355170;4;1;7652;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;6;1;4;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999,0;99999;99999,0;99999;99999,0;1320;1343,927728;10;1320;1343,927728;0,982195674;1;2;2;3;15,61056013
518;52;5245;44;00518-2;2;67;1956-10-18;99999;99999;2;2;99999;8;99999;2;99999;99999;1;3;99999;2;1;00518-1;2;2;2;2;2;4;76;52;76520580;1;99999;1;1;7635;76352410;7635;76352410;4;2;99999;0;0;0;0;1;2;1;2;2;1;1;1;53;2;1;2;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;1;2640;2687,855455;1;800;101811,6885;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;3440;3502,357108;0,982195674;1;2;2;5;13,46597839
527;53;5333;39;00527-1;1;64;1959-10-29;99999;99999;1;1;99999;10;99999;1;2;99999;1;4;99999;2;1;00527-2;1;4;4;3;4;4;76;33;76330630;99999;99999;14;7;7653;765303;7653;5333;7;2;99999;0;1;0;1;1;1;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;5;2;2;1;5000;5035,0612;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;0;5000;5035,0612;0,993036589;1;2;2;7;22,23607446
527;53;5333;39;00527-2;2;61;1963-05-05;99999;99999;2;2;99999;8;99999;2;99999;99999;1;4;99999;2;1;00527-1;1;4;4;4;4;4;76;33;76330630;99999;99999;14;7;7653;765303;7653;5333;7;2;99999;1;0;0;1;1;2;1;2;2;2;99999;99999;99999;2;1;2;21;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;60;0;0,0;0,993036589;1;2;2;5;19,50971264
527;53;5333;39;00527-3;3;28;1995-06-22;99999;99999;1;1;99999;10;99999;4;99999;99999;1;88888;99999;1;3;99999;1;4;4;4;4;4;76;31;76311830;99999;99999;14;7;7653;765303;7653;5333;7;2;99999;1;0;0;1;1;1;1;2;2;1;4;1;1;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;4;2;2;2;99999;99999,0;2;99999;99999,0;1;0;2;88888;1;1;2;1;2;2;2;2;2;99999;2;3;3;99999;99999;99999;1;1;88888;99999,0;0;0,0;99999;99999,0;88888;99999,0;0;99999;99999,0;0,993036589;1;2;2;7;42,31485343
554;53;5335;41;00554-1;1;95;1928-05-12;99999;99999;2;2;99999;8;99999;1;1;00554-2;4;1;99999;5;2;99999;2;2;4;2;4;2;76;29;76290930;99999;99999;42;20;7653;99999;7653;5335;1;2;99999;1;0;1;0;2;99999;99999;99999;99999;1;2;4;9;2;1;12;20;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;2600;2618,231824;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;6;2600;2618,231824;0,993036589;1;2;2;8;2,376786574
554;53;5335;41;00554-2;2;70;1953-08-01;99999;99999;2;2;99999;8;99999;5;99999;99999;1;1;99999;1;3;99999;2;2;4;4;3;4;76;29;76290930;99999;99999;40;22;7653;99999;7653;5335;1;2;99999;1;0;0;1;2;99999;99999;99999;99999;2;99999;99999;99999;2;1;1;29;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;5;2;2;2;2;1;1350;1359,466524;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;7;1350;1359,466524;0,993036589;1;2;2;2;6,580757959
572;53;5312;15;00572-1;1;62;99999;99999;62;2;2;99999;5;99999;1;1;00572-2;4;3;99999;1;2;99999;2;3;2;4;4;4;76;17;76170700;99999;99999;33;33;99999;99999;7653;5312;1;2;99999;1;0;0;1;1;2;1;2;2;1;2;2;3;1;1;2;22;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;1;1320;1354,007186;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;750;769,3222645;300;307,7289058;10;2370;2431,058356;0,974884044;1;2;2;5;89,84108352
572;53;5312;15;00572-2;2;31;99999;99999;31;1;1;99999;5;99999;7;99999;99999;1;12;99999;2;1;00572-3;1;4;4;4;4;4;76;22;76220200;99999;99999;7;7;7652;76521250;7653;5312;1;1;12;1;0;0;1;1;1;1;2;2;1;1;1;1;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;1;2;99999;99999,0;2;99999;99999,0;1;0;7;44;1;1;1;2;2;2;2;2;2;99999;1;5;3;99999;99999;99999;1;1;1500;1538,644529;0;0,0;99999;99999,0;88888;99999,0;2;99999;99999,0;0,974884044;1;2;2;7;174,7676765
572;53;5312;15;00572-3;3;30;99999;99999;30;2;2;99999;5;99999;5;99999;99999;1;12;99999;2;1;00572-2;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5312;99999;1;12;1;0;0;1;1;1;1;2;2;1;1;1;52;2;1;1;26;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;8;2;2;2;99999;99999,0;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;10;0;0,0;0,974884044;1;2;2;7;200,0628109
572;53;5312;15;00572-4;4;3;99999;99999;3;2;99999;99999;99999;99999;10;99999;99999;1;12;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5312;99999;99999;99999;0;0;0;0;1;2;1;2;2;1;2;4;3;1;99999;99999;99999;99999;1;99999;1;1;4;12;2;2;2;2;2;2;2;2;1;99999;9;1;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999,0;99999;99999;99999,0;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999,0;99999;99999,0;99999;99999,0;99999;99999,0;99999;0;0,0;0,974884044;99999;99999;99999;1;143,0085883
576;53;5321;25;00576-1;1;47;99999;99999;47;1;1;99999;5;99999;1;1;00576-2;4;1;99999;1;2;99999;1;4;4;4;4;4;76;15;76150140;99999;99999;88888;3;7653;765324;7653;765324;6;2;99999;1;0;0;1;1;2;1;2;2;1;2;4;3;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;1;4;0;32;1;1;2;2;2;2;1;2;2;99999;5;2;3;99999;99999;99999;1;1;1800;1839,726491;0;0,0;88888;99999,0;88888;99999,0;88888;99999;99999,0;0,978406306;1;2;2;5;59,93263109
576;53;5321;25;00576-2;2;24;1999-05-23;99999;99999;1;1;99999;5;99999;5;99999;99999;1;12;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;2;1;99999;3;99999;99999;99999;765324;1;2;99999;1;0;0;1;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999,0;2;99999;99999,0;1;5;0;88888;1;2;2;2;1;2;2;2;2;99999;3;2;7;99999;2;2;99999;2;4500;4599,316226;0;0,0;99999;99999,0;88888;99999,0;88888;99999;99999,0;0,978406306;1;2;2;5;66,96815738
602;53;5324;28;00602-1;1;67;1956-06-12;99999;99999;1;1;99999;5;99999;1;2;99999;4;4;99999;2;88888;99999;1;4;4;4;4;4;76;21;76210910;99999;99999;47;25;7653;99999;7653;5324;8;2;99999;1;1;0;1;1;1;1;1;1;1;1;4;1;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;2;2;2;2;99999;99999,0;2;99999;99999,0;1;29;0;50;3;1;2;1;2;2;2;2;2;99999;2;3;1;1;99999;99999;99999;1;50000;50521,80408;0;0,0;99999;99999,0;5000;5052,180408;0;55000;55573,98449;0,989671705;1;2;2;7;14,00746175
602;53;5324;28;00602-2;2;64;1959-10-09;99999;99999;2;2;99999;5;99999;16;99999;99999;1;4;99999;2;88888;99999;1;4;4;4;4;4;76;21;76210160;99999;99999;50;29;7653;99999;7653;5324;8;2;99999;1;1;0;1;1;1;1;1;1;1;1;4;1;1;1;3;26;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;4;2;2;1;10000;10104,36082;2;99999;99999,0;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999,0;99999;99999,0;99999;99999,0;0;0,0;10;10000;10104,36082;0,989671705;1;2;2;7;12,15021497
